ACTIVITY DATE,DIVISION,BUSINESS UNIT,BUSINESS LINE,Sum of TOTAL TIME - AHT (sec),Sum of TOTAL TIME - AHT - FORECAST (sec),Sum of VOLUME - RECEIVED,Sum of VOLUME - FORECAST,
3/15/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/15/2019,II Services and Operations,RIS,RIS,1182083,,2775,2152,
3/15/2019,II Services and Operations,RCS PHONES,RCS PHONES,245480,,384,393,
3/15/2019,II Services and Operations,SCS,BRO,269280,,626,490,
3/15/2019,II Services and Operations,SCS,PSG,926072,,2095,1132,
3/15/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/16/2019,WISE,WISE,WISE Contractual,,,0,0,
3/16/2019,College Savings,College Savings,CS Alaska,,,0,0,
3/16/2019,College Savings,College Savings,CS John Hancock,,,0,0,
3/16/2019,College Savings,College Savings,CS Maryland,,,0,0,
3/16/2019,College Savings,College Savings,CS National,,,0,0,
3/16/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/16/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
3/16/2019,II Services and Operations,SCS,BRO,,,0,0,
3/16/2019,II Services and Operations,SCS,PSG,,,0,0,
3/17/2019,WISE,WISE,WISE Contractual,0,,0,0,
3/17/2019,College Savings,College Savings,CS Alaska,0,,0,0,
3/17/2019,College Savings,College Savings,CS John Hancock,0,,0,0,
3/17/2019,College Savings,College Savings,CS Maryland,0,,0,0,
3/17/2019,College Savings,College Savings,CS National,0,,0,0,
3/17/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/17/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
3/17/2019,II Services and Operations,SCS,BRO,0,,0,0,
3/17/2019,II Services and Operations,SCS,PSG,0,,0,0,
3/18/2019,WISE,WISE,WISE Contractual,3872646,,7122,7168,
3/18/2019,College Savings,College Savings,CS Alaska,24939,,51,48,
3/18/2019,College Savings,College Savings,CS John Hancock,126248,,349,372,
3/18/2019,College Savings,College Savings,CS Maryland,145440,,307,377,
3/18/2019,College Savings,College Savings,CS National,76950,,153,157,
3/18/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/18/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/18/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/18/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/18/2019,II Services and Operations,RIS,RIS,1446359,,3113,2863,
3/18/2019,II Services and Operations,RCS PHONES,RCS PHONES,296838,,527,545,
3/18/2019,II Services and Operations,SCS,BRO,448448,,712,607,
3/18/2019,II Services and Operations,SCS,PSG,1243398,,2006,1514,
3/18/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/19/2019,WISE,WISE,WISE Contractual,3043260,,5931,5586,
3/19/2019,College Savings,College Savings,CS Alaska,21812,,38,36,
3/19/2019,College Savings,College Savings,CS John Hancock,129228,,370,306,
3/19/2019,College Savings,College Savings,CS Maryland,143570,,294,220,
3/19/2019,College Savings,College Savings,CS National,45714,,115,136,
3/19/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/19/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/19/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/19/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/19/2019,II Services and Operations,RIS,RIS,1111984,,2183,2283,
3/19/2019,II Services and Operations,RCS PHONES,RCS PHONES,253946,,416,384,
3/19/2019,II Services and Operations,SCS,BRO,331154,,556,569,
3/19/2019,II Services and Operations,SCS,PSG,854642,,1310,1153,
3/19/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/20/2019,WISE,WISE,WISE Contractual,2973348,,5640,5382,
3/20/2019,College Savings,College Savings,CS Alaska,16558,,34,43,
3/20/2019,College Savings,College Savings,CS John Hancock,110840,,329,289,
3/20/2019,College Savings,College Savings,CS Maryland,103870,,235,210,
3/20/2019,College Savings,College Savings,CS National,41004,,102,99,
3/20/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/20/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/20/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/20/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/20/2019,II Services and Operations,RIS,RIS,931067,,1873,2058,
3/20/2019,II Services and Operations,RCS PHONES,RCS PHONES,220567,,379,426,
3/20/2019,II Services and Operations,SCS,BRO,276360,,433,544,
3/20/2019,II Services and Operations,SCS,PSG,682490,,999,1121,
3/20/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/21/2019,WISE,WISE,WISE Contractual,2761656,,5081,5221,
3/21/2019,College Savings,College Savings,CS Alaska,14385,,35,22,
3/21/2019,College Savings,College Savings,CS John Hancock,92536,,279,302,
3/21/2019,College Savings,College Savings,CS Maryland,85905,,208,181,
3/21/2019,College Savings,College Savings,CS National,47775,,93,89,
3/21/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/21/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/21/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/21/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/21/2019,II Services and Operations,RIS,RIS,980436,,2132,1958,
3/21/2019,II Services and Operations,RCS PHONES,RCS PHONES,242802,,402,357,
3/21/2019,II Services and Operations,SCS,BRO,295515,,570,496,
3/21/2019,II Services and Operations,SCS,PSG,768614,,1240,1023,
3/21/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/22/2019,WISE,WISE,WISE Contractual,2848665,,5415,5059,
3/22/2019,College Savings,College Savings,CS Alaska,15732,,40,37,
3/22/2019,College Savings,College Savings,CS John Hancock,92092,,257,249,
3/22/2019,College Savings,College Savings,CS Maryland,110187,,235,211,
3/22/2019,College Savings,College Savings,CS National,51092,,110,101,
3/22/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/22/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/22/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/22/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/22/2019,II Services and Operations,RIS,RIS,964522,,2006,2085,
3/22/2019,II Services and Operations,RCS PHONES,RCS PHONES,215812,,333,389,
3/22/2019,II Services and Operations,SCS,BRO,294750,,497,495,
3/22/2019,II Services and Operations,SCS,PSG,691200,,1048,1126,
3/22/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/23/2019,WISE,WISE,WISE Contractual,,,0,0,
3/23/2019,College Savings,College Savings,CS Alaska,,,0,0,
3/23/2019,College Savings,College Savings,CS John Hancock,,,0,0,
3/23/2019,College Savings,College Savings,CS Maryland,,,0,0,
3/23/2019,College Savings,College Savings,CS National,,,0,0,
3/23/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/23/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
3/23/2019,II Services and Operations,SCS,BRO,,,0,0,
3/23/2019,II Services and Operations,SCS,PSG,,,0,0,
3/24/2019,WISE,WISE,WISE Contractual,,,0,0,
3/24/2019,College Savings,College Savings,CS Alaska,,,0,0,
3/24/2019,College Savings,College Savings,CS John Hancock,,,0,0,
3/24/2019,College Savings,College Savings,CS Maryland,,,0,0,
3/24/2019,College Savings,College Savings,CS National,,,0,0,
3/24/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/24/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
3/24/2019,II Services and Operations,SCS,BRO,,,0,0,
3/24/2019,II Services and Operations,SCS,PSG,0,,0,0,
3/25/2019,WISE,WISE,WISE Contractual,3721248,,7127,7122,
3/25/2019,College Savings,College Savings,CS Alaska,29583,,65,48,
3/25/2019,College Savings,College Savings,CS John Hancock,151065,,418,375,
3/25/2019,College Savings,College Savings,CS Maryland,151980,,363,315,
3/25/2019,College Savings,College Savings,CS National,55944,,154,128,
3/25/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/25/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/25/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/25/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/25/2019,II Services and Operations,RIS,RIS,1268467,,2761,2886,
3/25/2019,II Services and Operations,RCS PHONES,RCS PHONES,294502,,529,561,
3/25/2019,II Services and Operations,SCS,BRO,383640,,567,613,
3/25/2019,II Services and Operations,SCS,PSG,942919,,1377,1544,
3/25/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/26/2019,WISE,WISE,WISE Contractual,3039316,,5808,5576,
3/26/2019,College Savings,College Savings,CS Alaska,13950,,31,37,
3/26/2019,College Savings,College Savings,CS John Hancock,109296,,313,311,
3/26/2019,College Savings,College Savings,CS Maryland,116572,,308,232,
3/26/2019,College Savings,College Savings,CS National,53802,,128,119,
3/26/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/26/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/26/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/26/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/26/2019,II Services and Operations,RIS,RIS,961692,,2115,2317,
3/26/2019,II Services and Operations,RCS PHONES,RCS PHONES,261184,,428,396,
3/26/2019,II Services and Operations,SCS,BRO,246272,,443,574,
3/26/2019,II Services and Operations,SCS,PSG,720195,,1090,1211,
3/26/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/27/2019,WISE,WISE,WISE Contractual,2810024,,5384,5397,
3/27/2019,College Savings,College Savings,CS Alaska,14048,,32,31,
3/27/2019,College Savings,College Savings,CS John Hancock,100890,,288,304,
3/27/2019,College Savings,College Savings,CS Maryland,102350,,230,248,
3/27/2019,College Savings,College Savings,CS National,56400,,120,116,
3/27/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/27/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/27/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/27/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/27/2019,II Services and Operations,RIS,RIS,958178,,2035,2166,
3/27/2019,II Services and Operations,RCS PHONES,RCS PHONES,231267,,391,439,
3/27/2019,II Services and Operations,SCS,BRO,252968,,419,550,
3/27/2019,II Services and Operations,SCS,PSG,642537,,990,1190,
3/27/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/28/2019,WISE,WISE,WISE Contractual,2668865,,4971,5143,
3/28/2019,College Savings,College Savings,CS Alaska,15674,,34,36,
3/28/2019,College Savings,College Savings,CS John Hancock,96145,,289,282,
3/28/2019,College Savings,College Savings,CS Maryland,98012,,218,237,
3/28/2019,College Savings,College Savings,CS National,39376,,92,109,
3/28/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/28/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/28/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/28/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/28/2019,II Services and Operations,RIS,RIS,1090147,,2563,2184,
3/28/2019,II Services and Operations,RCS PHONES,RCS PHONES,220064,,375,368,
3/28/2019,II Services and Operations,SCS,BRO,251732,,416,501,
3/28/2019,II Services and Operations,SCS,PSG,465254,,708,1059,
3/28/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/29/2019,WISE,WISE,WISE Contractual,2784345,,5218,5023,
3/29/2019,College Savings,College Savings,CS Alaska,21156,,43,38,
3/29/2019,College Savings,College Savings,CS John Hancock,90678,,262,278,
3/29/2019,College Savings,College Savings,CS Maryland,98780,,223,218,
3/29/2019,College Savings,College Savings,CS National,51480,,108,108,
3/29/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
3/29/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
3/29/2019,College Savings,CS - Direct Sold,CS National,,,,,
3/29/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
3/29/2019,II Services and Operations,RIS,RIS,967158,,2020,2124,
3/29/2019,II Services and Operations,RCS PHONES,RCS PHONES,227030,,367,401,
3/29/2019,II Services and Operations,SCS,BRO,263064,,469,500,
3/29/2019,II Services and Operations,SCS,PSG,654685,,1036,1198,
3/29/2019,II Services and Operations,SCS,BRO-Complex,,,,,
3/30/2019,WISE,WISE,WISE Contractual,,,0,0,
3/30/2019,College Savings,College Savings,CS Alaska,,,0,0,
3/30/2019,College Savings,College Savings,CS John Hancock,,,0,0,
3/30/2019,College Savings,College Savings,CS Maryland,,,0,0,
3/30/2019,College Savings,College Savings,CS National,,,0,0,
3/30/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/30/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
3/30/2019,II Services and Operations,SCS,BRO,,,0,0,
3/30/2019,II Services and Operations,SCS,PSG,,,0,0,
3/31/2019,WISE,WISE,WISE Contractual,0,,0,0,
3/31/2019,College Savings,College Savings,CS Alaska,0,,0,0,
3/31/2019,College Savings,College Savings,CS John Hancock,0,,0,0,
3/31/2019,College Savings,College Savings,CS Maryland,0,,0,0,
3/31/2019,College Savings,College Savings,CS National,0,,0,0,
3/31/2019,II Services and Operations,RIS,RIS,0,,0,0,
3/31/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
3/31/2019,II Services and Operations,SCS,BRO,0,,0,0,
3/31/2019,II Services and Operations,SCS,PSG,0,,0,0,
4/1/2019,WISE,WISE,WISE Contractual,4202800,,7695,7466,
4/1/2019,College Savings,College Savings,CS Alaska,36850,,74,57,
4/1/2019,College Savings,College Savings,CS John Hancock,152380,,417,372,
4/1/2019,College Savings,College Savings,CS Maryland,171120,,385,353,
4/1/2019,College Savings,College Savings,CS National,93624,,195,157,
4/1/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
4/1/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
4/1/2019,College Savings,CS - Direct Sold,CS National,,,,,
4/1/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
4/1/2019,II Services and Operations,RIS,RIS,1454583,,3178,2927,
4/1/2019,II Services and Operations,RCS PHONES,RCS PHONES,417788,,638,624,
4/1/2019,II Services and Operations,SCS,BRO,385065,,651,625,
4/1/2019,II Services and Operations,SCS,PSG,1291752,,2114,1691,
4/1/2019,II Services and Operations,SCS,BRO-Complex,,,,,
4/2/2019,WISE,WISE,WISE Contractual,3264534,,6020,6085,
4/2/2019,College Savings,College Savings,CS Alaska,24054,,57,46,
4/2/2019,College Savings,College Savings,CS John Hancock,148428,,410,329,
4/2/2019,College Savings,College Savings,CS Maryland,131412,,282,291,
4/2/2019,College Savings,College Savings,CS National,66725,,159,134,
4/2/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
4/2/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
4/2/2019,College Savings,CS - Direct Sold,CS National,,,,,
4/2/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
4/2/2019,II Services and Operations,RIS,RIS,1177142,,2359,2367,
4/2/2019,II Services and Operations,RCS PHONES,RCS PHONES,367026,,534,554,
4/2/2019,II Services and Operations,SCS,BRO,351268,,582,586,
4/2/2019,II Services and Operations,SCS,PSG,931392,,1423,1247,
4/2/2019,II Services and Operations,SCS,BRO-Complex,,,,,
4/3/2019,WISE,WISE,WISE Contractual,3024640,,5601,5692,
4/3/2019,College Savings,College Savings,CS Alaska,16796,,34,39,
4/3/2019,College Savings,College Savings,CS John Hancock,117114,,306,317,
4/3/2019,College Savings,College Savings,CS Maryland,113664,,260,277,
4/3/2019,College Savings,College Savings,CS National,57018,,130,126,
4/3/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
4/3/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
4/3/2019,College Savings,CS - Direct Sold,CS National,,,,,
4/3/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
4/3/2019,II Services and Operations,RIS,RIS,1091198,,2217,2208,
4/3/2019,II Services and Operations,RCS PHONES,RCS PHONES,328841,,512,518,
4/3/2019,II Services and Operations,SCS,BRO,280623,,493,561,
4/3/2019,II Services and Operations,SCS,PSG,730785,,1140,1226,
4/3/2019,II Services and Operations,SCS,BRO-Complex,,,,,
4/4/2019,WISE,WISE,WISE Contractual,2847824,,5300,5274,
4/4/2019,College Savings,College Savings,CS Alaska,18855,,46,41,
4/4/2019,College Savings,College Savings,CS John Hancock,103320,,317,282,
4/4/2019,College Savings,College Savings,CS Maryland,99456,,225,264,
4/4/2019,College Savings,College Savings,CS National,65720,,155,113,
4/4/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
4/4/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
4/4/2019,College Savings,CS - Direct Sold,CS National,,,,,
4/4/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
4/4/2019,II Services and Operations,RIS,RIS,1180816,,2291,2168,
4/4/2019,II Services and Operations,RCS PHONES,RCS PHONES,321816,,511,485,
4/4/2019,II Services and Operations,SCS,BRO,274365,,481,511,
4/4/2019,II Services and Operations,SCS,PSG,811370,,1232,1091,
4/4/2019,II Services and Operations,SCS,BRO-Complex,,,,,
4/5/2019,WISE,WISE,WISE Contractual,2811978,,5194,5338,
4/5/2019,College Savings,College Savings,CS Alaska,18748,,43,47,
4/5/2019,College Savings,College Savings,CS John Hancock,93340,,272,279,
4/5/2019,College Savings,College Savings,CS Maryland,123026,,274,255,
4/5/2019,College Savings,College Savings,CS National,52680,,121,120,
4/5/2019,College Savings,CS - Direct Sold,CS Alaska,,,,,
4/5/2019,College Savings,CS - Direct Sold,CS Maryland,,,,,
4/5/2019,College Savings,CS - Direct Sold,CS National,,,,,
4/5/2019,College Savings,CS - Intermediary,CS John Hancock,,,,,
4/5/2019,II Services and Operations,RIS,RIS,1185540,,2375,2249,
4/5/2019,II Services and Operations,RCS PHONES,RCS PHONES,339141,,484,476,
4/5/2019,II Services and Operations,SCS,BRO,302940,,520,510,
4/5/2019,II Services and Operations,SCS,PSG,829422,,1374,1234,
4/5/2019,II Services and Operations,SCS,BRO-Complex,,,,,
4/6/2019,WISE,WISE,WISE Contractual,,,0,0,
4/6/2019,College Savings,College Savings,CS Alaska,,,0,0,
4/6/2019,College Savings,College Savings,CS John Hancock,,,0,0,
4/6/2019,College Savings,College Savings,CS Maryland,,,0,0,
4/6/2019,College Savings,College Savings,CS National,,,0,0,
4/6/2019,II Services and Operations,RIS,RIS,0,,0,0,
4/6/2019,II Services and Operations,RCS PHONES,RCS PHONES,,,0,0,
4/6/2019,II Services and Operations,SCS,BRO,,,0,0,
4/6/2019,II Services and Operations,SCS,PSG,,,0,0,
4/7/2019,WISE,WISE,WISE Contractual,0,,0,0,
4/7/2019,College Savings,College Savings,CS Alaska,0,,0,0,
4/7/2019,College Savings,College Savings,CS John Hancock,0,,0,0,
4/7/2019,College Savings,College Savings,CS Maryland,0,,0,0,
4/7/2019,College Savings,College Savings,CS National,0,,0,0,
4/7/2019,II Services and Operations,RIS,RIS,0,,0,0,
4/7/2019,II Services and Operations,RCS PHONES,RCS PHONES,0,,0,0,
4/7/2019,II Services and Operations,SCS,BRO,0,,0,0,
